DO,WT,pH,Tur,CHLa,Cond,COD,NH,TP,TN
8.82,33.04,8.55,29.75,12.19,415.03,3.63,0.04,0.05,0.56
8.39,33.07,8.54,32.54,14.05,415.96,3.67,0.04,0.05,0.57
8.12,32.52,8.53,33.72,21.18,417.06,3.6,0.04,0.06,0.57
8.05,32.33,8.52,36.03,20.3,417.53,3.7,0.05,0.06,0.53
8.35,32.44,8.56,35.02,15.44,418.33,3.73,0.05,0.06,0.64
9.53,33.28,8.62,19.82,10.49,417.5,3.69,0.03,0.05,0.49
7.81,31.89,8.5,32.91,16.39,420.63,3.96,0.06,0.06,0.6
8.7,31.2,8.59,23.99,17.8,412.67,4.1,0.04,0.05,0.61
9.36,31.23,8.7,32.36,17.64,407.14,4.26,0.04,0.05,0.62
9.61,31.19,8.7,60.54,19.79,404.63,4.5,0.05,0.05,0.65
7.92,30.6,8.47,55.67,20.81,400.14,4.79,0.09,0.08,0.75
8.23,30.58,8.19,46.79,16.45,402.73,4.54,0.13,0.07,0.82
8.81,30.56,8.3,46.04,16.41,384.78,5.04,0.09,0.07,0.91
10.61,30.21,8.44,55.2,30.33,382.99,4.81,0.06,0.06,0.82
